x    bits                                                sight  spec  closed_form
173  FRAMED+LITERAL+FAILONLY+TOUCHED+UBIQUITOUS         0      0     0
174  SCARCE+LITERAL+FAILONLY+TOUCHED+UBIQUITOUS         0      0     0
175  FRAMED+SCARCE+LITERAL+FAILONLY+TOUCHED+UBIQUITOUS  0      0     0
176  NAMED+TOUCHED+UBIQUITOUS                           4      4     4
177  FRAMED+NAMED+TOUCHED+UBIQUITOUS                    0      0     0
178  SCARCE+NAMED+TOUCHED+UBIQUITOUS                    0      0     0
179  FRAMED+SCARCE+NAMED+TOUCHED+UBIQUITOUS             0      0     0
180  LITERAL+NAMED+TOUCHED+UBIQUITOUS                   0      0     0
181  FRAMED+LITERAL+NAMED+TOUCHED+UBIQUITOUS            0      0     0
182  SCARCE+LITERAL+NAMED+TOUCHED+UBIQUITOUS            0      0     0
183  FRAMED+SCARCE+LITERAL+NAMED+TOUCHED+UBIQUITOUS     0      0     0
184  FAILONLY+NAMED+TOUCHED+UBIQUITOUS                  3      3     3
185  FRAMED+FAILONLY+NAMED+TOUCHED+UBIQUITOUS           0      0     0
186  SCARCE+FAILONLY+NAMED+TOUCHED+UBIQUITOUS           0      0     0
187  FRAMED+SCARCE+FAILONLY+NAMED+TOUCHED+UBIQUITOUS    0      0     0
188  LITERAL+FAILONLY+NAMED+TOUCHED+UBIQUITOUS          0      0     0
189  FRAMED+LITERAL+FAILONLY+NAMED+TOUCHED+UBIQUITOUS   0      0     0
190  SCARCE+LITERAL+FAILONLY+NAMED+TOUCHED+UBIQUITOUS   0      0     0
191  FRAMED+SCARCE+LITERAL+FAILONLY+NAMED+TOUCHED+UBIQUITOUS 0      0     0
192  SMALL+UBIQUITOUS                                   6      6     6
193  FRAMED+SMALL+UBIQUITOUS                            0      0     0
194  SCARCE+SMALL+UBIQUITOUS                            0      0     0
195  FRAMED+SCARCE+SMALL+UBIQUITOUS                     0      0     0
196  LITERAL+SMALL+UBIQUITOUS                           0      0     0
197  FRAMED+LITERAL+SMALL+UBIQUITOUS                    0      0     0
198  SCARCE+LITERAL+SMALL+UBIQUITOUS                    0      0     0
199  FRAMED+SCARCE+LITERAL+SMALL+UBIQUITOUS             0      0     0
200  FAILONLY+SMALL+UBIQUITOUS                          3      3     3
201  FRAMED+FAILONLY+SMALL+UBIQUITOUS                   0      0     0
202  SCARCE+FAILONLY+SMALL+UBIQUITOUS                   0      0     0
203  FRAMED+SCARCE+FAILONLY+SMALL+UBIQUITOUS            0      0     0
204  LITERAL+FAILONLY+SMALL+UBIQUITOUS                  0      0     0
205  FRAMED+LITERAL+FAILONLY+SMALL+UBIQUITOUS           0      0     0
206  SCARCE+LITERAL+FAILONLY+SMALL+UBIQUITOUS           0      0     0
207  FRAMED+SCARCE+LITERAL+FAILONLY+SMALL+UBIQUITOUS    0      0     0
208  NAMED+SMALL+UBIQUITOUS                             4      4     4
209  FRAMED+NAMED+SMALL+UBIQUITOUS                      0      0     0
210  SCARCE+NAMED+SMALL+UBIQUITOUS                      0      0     0
211  FRAMED+SCARCE+NAMED+SMALL+UBIQUITOUS               0      0     0
212  LITERAL+NAMED+SMALL+UBIQUITOUS                     0      0     0
213  FRAMED+LITERAL+NAMED+SMALL+UBIQUITOUS              0      0     0
214  SCARCE+LITERAL+NAMED+SMALL+UBIQUITOUS              0      0     0
215  FRAMED+SCARCE+LITERAL+NAMED+SMALL+UBIQUITOUS       0      0     0
216  FAILONLY+NAMED+SMALL+UBIQUITOUS                    3      3     3
217  FRAMED+FAILONLY+NAMED+SMALL+UBIQUITOUS             0      0     0
218  SCARCE+FAILONLY+NAMED+SMALL+UBIQUITOUS             0      0     0
219  FRAMED+SCARCE+FAILONLY+NAMED+SMALL+UBIQUITOUS      0      0     0
220  LITERAL+FAILONLY+NAMED+SMALL+UBIQUITOUS            0      0     0
221  FRAMED+LITERAL+FAILONLY+NAMED+SMALL+UBIQUITOUS     0      0     0
222  SCARCE+LITERAL+FAILONLY+NAMED+SMALL+UBIQUITOUS     0      0     0
223  FRAMED+SCARCE+LITERAL+FAILONLY+NAMED+SMALL+UBIQUITOUS 0      0     0
224  TOUCHED+SMALL+UBIQUITOUS                           5      5     5
225  FRAMED+TOUCHED+SMALL+UBIQUITOUS                    0      0     0
226  SCARCE+TOUCHED+SMALL+UBIQUITOUS                    0      0     0
